"time_stamp","humidity_a","temperature_a","pressure_a","pm2.5_alt_a","pm2.5_alt_b","sensor_index","sensor_name","pm2.5_alt","pm2.5_aqi"
2023-12-31 19:00:00,37,49.733,1011.904,9.4,13.5,178411,"Office",11.45,48
2023-12-31 19:30:00,38.467,48.933,1011.888,8,11.2,178411,"Office",9.6,40
2023-12-31 20:00:00,39,48.4,1011.887,8.3,11.2,178411,"Office",9.75,41
2023-12-31 20:30:00,39.867,48.333,1011.731,8.8,10.8,178411,"Office",9.8,41
2023-12-31 21:00:00,40.867,48.067,1011.724,9,12.6,178411,"Office",10.8,46
2023-12-31 21:30:00,41.933,48,1011.717,9.1,8.2,178411,"Office",8.65,37
2023-12-31 22:00:00,42,48.067,1011.664,9.2,9.9,178411,"Office",9.55,40
2023-12-31 22:30:00,42.067,48.2,1011.643,9.7,12,178411,"Office",10.85,46
2023-12-31 23:00:00,42.867,48.133,1011.829,11.1,15.7,178411,"Office",13.4,54
2023-12-31 23:30:00,43.067,47.867,1011.876,12,15.4,178411,"Office",13.7,55
2024-01-01 00:00:00,44,47.8,1011.79,12.8,14.9,178411,"Office",13.85,55
2024-01-01 00:30:00,44,48.067,1011.743,16.1,19.1,178411,"Office",17.6,63
2024-01-01 01:00:00,43.467,48.667,1011.668,16.4,16.8,178411,"Office",16.6,61
2024-01-01 01:30:00,43.333,48.333,1011.597,13.4,15.7,178411,"Office",14.55,57
2024-01-01 02:00:00,44.2,48.067,1011.631,13,15.5,178411,"Office",14.25,56
2024-01-01 02:30:00,44.733,47.933,1011.541,14.8,18.1,178411,"Office",16.45,61
2024-01-01 03:00:00,45.4,48,1011.464,13,15.1,178411,"Office",14.05,56
2024-01-01 03:30:00,46,48,1011.192,11.5,13.7,178411,"Office",12.6,53
2024-01-01 04:00:00,47.2,47.267,1011.122,12.6,14.7,178411,"Office",13.65,55
2024-01-01 04:30:00,48.333,46.933,1011.143,12.2,11.8,178411,"Office",12,50
2024-01-01 05:00:00,48.933,47.133,1011.275,11.2,10.3,178411,"Office",10.75,45
2024-01-01 05:30:00,49.067,47.6,1011.569,12.1,11.7,178411,"Office",11.9,50
2024-01-01 06:00:00,50.333,47.467,1011.915,13.3,13.3,178411,"Office",13.3,54
2024-01-01 06:30:00,51.333,47.467,1012.068,12.8,11.9,178411,"Office",12.35,52
2024-01-01 07:00:00,53.6,46.267,1012.063,11.7,10.1,178411,"Office",10.9,46
2024-01-01 07:30:00,55.467,46,1012.431,11.3,9.9,178411,"Office",10.6,45
2024-01-01 08:00:00,56.4,46,1012.741,11.3,10.1,178411,"Office",10.7,45
2024-01-01 08:30:00,55.667,46.867,1013.065,10.9,9.4,178411,"Office",10.15,43
2024-01-01 09:00:00,54.067,47.4,1013.041,11.8,10.4,178411,"Office",11.1,47
2024-01-01 09:30:00,53.133,48,1013.097,12.3,11.9,178411,"Office",12.1,52
2024-01-01 10:00:00,51.6,48,1012.912,11.9,15.2,178411,"Office",13.55,55
2024-01-01 10:30:00,49.467,49,1012.815,11.3,16.2,178411,"Office",13.75,55
2024-01-01 11:00:00,48.067,49.933,1012.516,12,12.5,178411,"Office",12.25,52
2024-01-01 11:30:00,45.867,50.467,1012.291,10.9,9.3,178411,"Office",10.1,43
2024-01-01 12:00:00,44.867,51.067,1011.918,10.9,9.5,178411,"Office",10.2,43
2024-01-01 12:30:00,43.867,51.333,1011.783,10.2,9,178411,"Office",9.6,40
2024-01-01 13:00:00,43.267,51.933,1011.843,10,8.3,178411,"Office",9.15,39
2024-01-01 13:30:00,43.267,52.8,1011.836,12.5,11.2,178411,"Office",11.85,50
2024-01-01 14:00:00,41.667,53,1011.999,11.4,10,178411,"Office",10.7,45
2024-01-01 14:30:00,41.2,52.067,1012.032,8.5,7.4,178411,"Office",7.95,34
2024-01-01 15:00:00,41.667,51.267,1012.243,7.8,6.9,178411,"Office",7.35,31
2024-01-01 15:30:00,42,51,1012.408,7.6,6.5,178411,"Office",7.05,30
2024-01-01 16:00:00,42.067,51,1012.453,7.5,6.3,178411,"Office",6.9,29
2024-01-01 16:30:00,42.333,50.2,1012.661,7.3,6.3,178411,"Office",6.8,29
2024-01-01 17:00:00,42,49.667,1012.941,6.1,7.4,178411,"Office",6.75,29
2024-01-01 17:30:00,42.4,48.867,1013.087,6,11.3,178411,"Office",8.65,37
2024-01-01 18:00:00,44.067,48.333,1013.385,6.7,10.4,178411,"Office",8.55,36
2024-01-01 18:30:00,44,47.467,1013.687,5.7,4.8,178411,"Office",5.25,22
2024-01-01 19:00:00,44.267,46.733,1013.806,6.2,4.8,178411,"Office",5.5,23
2024-01-01 19:30:00,45.267,46,1013.877,6.2,5.1,178411,"Office",5.65,24
2024-01-01 20:00:00,46.667,46,1014.001,7,5.9,178411,"Office",6.45,27
2024-01-01 20:30:00,47,45.867,1014.073,8.3,7.1,178411,"Office",7.7,33
2024-01-01 21:00:00,47.667,45.267,1014.244,9,7.7,178411,"Office",8.35,35
2024-01-01 21:30:00,48.2,44.533,1014.448,7.5,6.5,178411,"Office",7,30
2024-01-01 22:00:00,49.867,43.533,1014.525,9,7.9,178411,"Office",8.45,36
2024-01-01 22:30:00,51.133,42.6,1014.601,7.7,6.6,178411,"Office",7.15,30
2024-01-01 23:00:00,51.267,41.267,1014.579,5.2,4.5,178411,"Office",4.85,21
2024-01-01 23:30:00,50.2,40.867,1014.597,4.6,3.9,178411,"Office",4.25,18
2024-01-02 00:00:00,49.333,40,1014.417,3.8,3.2,178411,"Office",3.5,15
2024-01-02 00:30:00,49.133,39.467,1014.374,3.7,3.1,178411,"Office",3.4,15
2024-01-02 01:00:00,49.4,39,1014.325,3.8,3.1,178411,"Office",3.45,15
2024-01-02 01:30:00,49,38.733,1014.431,3.7,3,178411,"Office",3.35,14
2024-01-02 02:00:00,49,38,1014.536,3.7,3.1,178411,"Office",3.4,15
2024-01-02 02:30:00,49.2,37.933,1014.602,4.3,3.7,178411,"Office",4,17
2024-01-02 03:00:00,49.133,37.067,1014.685,3.6,2.9,178411,"Office",3.25,14
2024-01-02 03:30:00,49.333,36.667,1014.754,3.4,2.6,178411,"Office",3,13
2024-01-02 04:00:00,49.867,36.133,1014.643,3.1,2.6,178411,"Office",2.85,12
2024-01-02 04:30:00,49.933,36,1014.593,3.3,2.5,178411,"Office",2.9,13
2024-01-02 05:00:00,49.733,35.6,1014.752,2.9,2.2,178411,"Office",2.55,11
2024-01-02 05:30:00,49.667,35,1014.961,2.8,2.3,178411,"Office",2.55,11
2024-01-02 06:00:00,49.733,34.933,1015.336,2.8,2.3,178411,"Office",2.55,11
2024-01-02 06:30:00,49.533,35,1015.687,2.7,2.1,178411,"Office",2.4,11
2024-01-02 07:00:00,49,34.933,1015.704,2.6,2.1,178411,"Office",2.35,10
2024-01-02 07:30:00,49,35.067,1015.822,2.6,2.1,178411,"Office",2.35,10
2024-01-02 08:00:00,48.133,35.733,1015.759,2.6,2,178411,"Office",2.3,10
2024-01-02 08:30:00,47.4,36.333,1016.09,2.4,1.9,178411,"Office",2.15,9
2024-01-02 09:00:00,45.8,37.333,1016.093,2.7,2.2,178411,"Office",2.45,11
2024-01-02 09:30:00,44.667,38.533,1016.021,2.9,2.5,178411,"Office",2.7,12
2024-01-02 10:00:00,42.667,39.733,1015.885,2.9,2.2,178411,"Office",2.55,11
2024-01-02 10:30:00,41.133,41.333,1015.568,3.7,3.1,178411,"Office",3.4,15
2024-01-02 11:00:00,39.733,42.2,1014.936,3.6,2.9,178411,"Office",3.25,14
2024-01-02 11:30:00,38.2,43.333,1014.302,3.5,2.8,178411,"Office",3.15,14
2024-01-02 12:00:00,37.333,44.4,1013.663,3.7,3,178411,"Office",3.35,14
2024-01-02 12:30:00,36.667,45.067,1013.169,3.6,2.9,178411,"Office",3.25,14
2024-01-02 13:00:00,35.467,46.6,1012.624,3.6,2.9,178411,"Office",3.25,14
2024-01-02 13:30:00,34.733,47.467,1012.295,4.1,3.3,178411,"Office",3.7,16
2024-01-02 14:00:00,33.533,48,1012.126,4.6,3.7,178411,"Office",4.15,18
2024-01-02 14:30:00,33,48.667,1012.034,4.2,7.4,178411,"Office",5.8,25
2024-01-02 15:00:00,33,48.8,1011.716,4.1,12,178411,"Office",8.05,34
2024-01-02 15:30:00,32.933,48.4,1011.673,4.2,9.3,178411,"Office",6.75,29
2024-01-02 16:00:00,33,48,1011.823,4,3.2,178411,"Office",3.6,16
2024-01-02 16:30:00,33.533,48,1011.929,4.4,3.6,178411,"Office",4,17
2024-01-02 17:00:00,34.2,47.678,1012.021,5.4,4.3,178411,"Office",4.85,21
2024-01-02 17:30:00,35.267,47.133,1012.141,6,4.8,178411,"Office",5.4,23
2024-01-02 18:00:00,36,47,1012.175,5.8,4.7,178411,"Office",5.25,22
2024-01-02 18:30:00,36.667,47,1012.217,7.1,5.9,178411,"Office",6.5,28
2024-01-02 19:00:00,37,47,1012.218,8.3,7.1,178411,"Office",7.7,33
2024-01-02 19:30:00,37.667,46.5,1012.297,8.7,7.6,178411,"Office",8.15,34
2024-01-02 20:00:00,37.8,46.167,1012.182,6.6,5.5,178411,"Office",6.05,26
2024-01-02 20:30:00,38.133,45.8,1012.146,7.3,6.3,178411,"Office",6.8,29
2024-01-02 21:00:00,38.467,45.2,1012.167,6.8,5.6,178411,"Office",6.2,26
2024-01-02 21:30:00,39,45,1012.32,5.7,4.8,178411,"Office",5.25,22
2024-01-02 22:00:00,39.6,44.867,1012.215,6.1,5.4,178411,"Office",5.75,24
2024-01-02 22:30:00,40.467,44.4,1012.137,6.8,6,178411,"Office",6.4,27
2024-01-02 23:00:00,41,43.8,1012.002,5.6,4.6,178411,"Office",5.1,22
2024-01-02 23:30:00,42,43,1011.691,5.1,4.2,178411,"Office",4.65,20
2024-01-03 00:00:00,42.8,42.933,1011.69,6.7,5.8,178411,"Office",6.25,27
2024-01-03 00:30:00,44.2,42.133,1011.8,6.1,5.2,178411,"Office",5.65,24
2024-01-03 01:00:00,45.6,42,1011.712,6.1,5.3,178411,"Office",5.7,24
2024-01-03 01:30:00,46,41.6,1011.562,6.3,5.6,178411,"Office",5.95,25
2024-01-03 02:00:00,46.867,40.933,1011.545,5.3,4.4,178411,"Office",4.85,21
