sensor_index,name_on_map,height (ft),altitude (ft)
178411,WE ACT for Environmental Justice Office,12,134
188669,WE ACT Community Sensor #1,34,32
188667,WE ACT Community Sensor #2,34,62
188659,WE ACT Community Sensor #3,19,22
188661,WE ACT Community Sensor #4,12,18
188665,WE ACT Community Sensor #5,26,178
188651,WE ACT Community Sensor #6,12,89
188641,WE ACT Community Sensor #7,19,33
188695,WE ACT Community Sensor #8,8,106
188673,WE ACT Community Sensor #9,41,203
188657,WE ACT Community Sensor #10,5,34
