sensor_index,name_on_map,height (ft),altitude (ft),Latitude,Longitude
178411,WE ACT for Environmental Justice Office,12,134,40.83007714,-73.94473126
188669,WE ACT Community Sensor #1,34,32,40.82373663,-73.94014473
188667,WE ACT Community Sensor #2,34,62,40.83648161,-73.94704719
188659,WE ACT Community Sensor #3,19,22,40.83648161,-73.94704719
188661,WE ACT Community Sensor #4,12,18,40.79493413,-73.94294452
188665,WE ACT Community Sensor #5,26,178,40.84930355,-73.93112066
188651,WE ACT Community Sensor #6,12,89,40.82234493,-73.95536297
188641,WE ACT Community Sensor #7,19,33,40.80866235,-73.94347123
188695,WE ACT Community Sensor #8,8,106,40.82393111,-73.95335473
188673,WE ACT Community Sensor #9,41,203,40.84802895,-73.93904959
188657,WE ACT Community Sensor #10,5,34,40.8165448,-73.94734395
